Name,ID,Has Block,Mod,Class,Display Name
minecraft:stone,1,true,minecraft,net.minecraft.item.ItemBlock,石头
minecraft:grass,2,true,minecraft,net.minecraft.item.ItemBlock,草方块
minecraft:dirt,3,true,minecraft,net.minecraft.item.ItemMultiTexture,泥土
minecraft:cobblestone,4,true,minecraft,net.minecraft.item.ItemBlock,圆石
minecraft:planks,5,true,minecraft,net.minecraft.item.ItemMultiTexture,橡木木板
minecraft:sapling,6,true,minecraft,net.minecraft.item.ItemMultiTexture,橡树树苗
minecraft:bedrock,7,true,minecraft,net.minecraft.item.ItemBlock,基岩
minecraft:flowing_water,8,true,minecraft,net.minecraft.item.ItemBlock,水
minecraft:water,9,true,minecraft,net.minecraft.item.ItemBlock,水
minecraft:flowing_lava,10,true,minecraft,net.minecraft.item.ItemBlock,岩浆
minecraft:lava,11,true,minecraft,net.minecraft.item.ItemBlock,岩浆
minecraft:sand,12,true,minecraft,net.minecraft.item.ItemMultiTexture,沙子
minecraft:gravel,13,true,minecraft,net.minecraft.item.ItemBlock,沙砾
minecraft:gold_ore,14,true,minecraft,net.minecraft.item.ItemBlock,金矿石
minecraft:iron_ore,15,true,minecraft,net.minecraft.item.ItemBlock,铁矿石
minecraft:coal_ore,16,true,minecraft,net.minecraft.item.ItemBlock,煤矿石
minecraft:log,17,true,minecraft,net.minecraft.item.ItemMultiTexture,橡木原木
minecraft:leaves,18,true,minecraft,net.minecraft.item.ItemLeaves,橡树树叶
minecraft:sponge,19,true,minecraft,net.minecraft.item.ItemBlock,惰性海绵
minecraft:glass,20,true,minecraft,net.minecraft.item.ItemBlock,玻璃
minecraft:lapis_ore,21,true,minecraft,net.minecraft.item.ItemBlock,青金石矿石
minecraft:lapis_block,22,true,minecraft,net.minecraft.item.ItemBlock,青金石块
minecraft:dispenser,23,true,minecraft,net.minecraft.item.ItemBlock,发射器
minecraft:sandstone,24,true,minecraft,net.minecraft.item.ItemMultiTexture,沙石
minecraft:noteblock,25,true,minecraft,net.minecraft.item.ItemBlock,音符盒
minecraft:golden_rail,27,true,minecraft,net.minecraft.item.ItemBlock,推进轨道
minecraft:detector_rail,28,true,minecraft,net.minecraft.item.ItemBlock,感应轨道
minecraft:sticky_piston,29,true,minecraft,net.minecraft.item.ItemPiston,黏性活塞
minecraft:web,30,true,minecraft,net.minecraft.item.ItemBlock,蜘蛛网
minecraft:tallgrass,31,true,minecraft,net.minecraft.item.ItemColored,灌木
minecraft:deadbush,32,true,minecraft,net.minecraft.item.ItemBlock,枯萎的灌木
minecraft:piston,33,true,minecraft,net.minecraft.item.ItemPiston,活塞
minecraft:wool,35,true,minecraft,net.minecraft.item.ItemCloth,羊毛
minecraft:yellow_flower,37,true,minecraft,net.minecraft.item.ItemMultiTexture,蒲公英
minecraft:red_flower,38,true,minecraft,net.minecraft.item.ItemMultiTexture,虞美人
minecraft:brown_mushroom,39,true,minecraft,net.minecraft.item.ItemBlock,蘑菇
minecraft:red_mushroom,40,true,minecraft,net.minecraft.item.ItemBlock,蘑菇
minecraft:gold_block,41,true,minecraft,net.minecraft.item.ItemBlock,金块
minecraft:iron_block,42,true,minecraft,net.minecraft.item.ItemBlock,铁块
minecraft:double_stone_slab,43,true,minecraft,net.minecraft.item.ItemSlab,平滑石台阶
minecraft:stone_slab,44,true,minecraft,net.minecraft.item.ItemSlab,平滑石台阶
minecraft:brick_block,45,true,minecraft,net.minecraft.item.ItemBlock,砖块
minecraft:tnt,46,true,minecraft,net.minecraft.item.ItemBlock,TNT
minecraft:bookshelf,47,true,minecraft,net.minecraft.item.ItemBlock,书架
minecraft:mossy_cobblestone,48,true,minecraft,net.minecraft.item.ItemBlock,苔石
minecraft:obsidian,49,true,minecraft,net.minecraft.item.ItemBlock,黑曜石
